key,share
industry_final_demand_for_other_minerals_steam_hot_water,7.42612242564339E-03
industry_final_demand_for_other_transport_equipment_steam_hot_water,1.49747018325607E-01
industry_final_demand_for_other_machinery_steam_hot_water,1.57556252404914E-01
industry_final_demand_for_other_mining_steam_hot_water,3.42037491356664E-03
industry_final_demand_for_other_food_steam_hot_water,1.02497976493475E-01
industry_final_demand_for_other_paper_steam_hot_water,3.21594065034728E-01
industry_final_demand_for_other_wood_products_steam_hot_water,5.17931551116580E-02
industry_final_demand_for_other_construction_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_textile_steam_hot_water,3.02673755727388E-02
industry_final_demand_for_other_non_specified_steam_hot_water,1.75697659717670E-01