,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-3.54580900000000E+04,-5.36085000000000E+04,3.56301700000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-7.28211571889169E+04,5.36085000000000E+04,1.49802271435768E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,7.10362255919395E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.96847385390428E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.82996140292000E+04,7.97274309203386E+03,0.00000000000000E+00,0.00000000000000E+00,1.47792889038101E-12,6.85350143614989E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,6.91333333333334E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.99544000000001E+03,0.00000000000000E+00
Industry - Other metals,5.11427000000000E+03,-,-,4.68066576134901E+03,1.70400000000000E+02,0.00000000000000E+00,6.13848848743145E+02,4.91141856385011E+03,0.00000000000000E+00