key,share
industry_final_demand_for_other_minerals_electricity,5.95986344095325E-02
industry_final_demand_for_other_transport_equipment_electricity,2.79863781358017E-02
industry_final_demand_for_other_machinery_electricity,1.45702460700979E-01
industry_final_demand_for_other_mining_electricity,1.02650476637595E-02
industry_final_demand_for_other_food_electricity,3.23681108811803E-01
industry_final_demand_for_other_paper_electricity,1.17613961134285E-01
industry_final_demand_for_other_wood_products_electricity,1.00608048019766E-02
industry_final_demand_for_other_construction_electricity,4.42775830694015E-02
industry_final_demand_for_other_textile_electricity,1.72616421977099E-02
industry_final_demand_for_other_non_specified_electricity,2.43552379074751E-01