,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,ruimteverwarming,koken,koken,hulpvraag,aardgas,elektriciteit,warmtenet,waterstof,biomassa,olie,totaal
geo_id,,,,,,,,,,,,,,,,,,,,,
GM0014,758683.9,3574719.6,20475.5,26213.6,12237.4,74745.4,0.0,0.0,0.0,77309.4,0.0,95207.8,2560.5,17018.7,4428994.9,66223.4,86970.1,0.0,77306.1,0.0,4659791.3
GM0034,573796.9,2815597.7,10498.3,11975.7,6320.8,43228.0,0.0,0.0,0.0,50877.8,0.0,73298.3,1338.8,14161.800000000001,3462946.1,37967.8,49548.9,0.0,50874.7,0.0,3601384.8
GM0037,97829.5,529695.9,3674.4,5213.5,0.0,0.0,0.0,0.0,0.0,15798.8,0.0,12266.9,331.2,2631.4,639803.4,11843.5,0.0,0.0,15797.6,0.0,667428.0
GM0047,83469.1,438467.4,3355.2,4813.5,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,10420.6,304.1,2189.8,532355.2,10655.4,0.0,0.0,13384.9,0.0,556387.8
GM0050,55634.0,288023.4,2690.6,3799.6,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6908.400000000001,254.3,1451.4,350583.0,8190.9,0.0,0.0,10333.7,0.0,369111.8
GM0059,78135.6,406169.2,3332.7999999999997,4707.1,0.0,0.0,0.0,0.0,0.0,13328.5,0.0,9742.8,302.0,2070.1,494050.0,10406.2,0.0,0.0,13327.4,0.0,517772.1
GM0060,10549.6,59611.7,877.7,564.9,0.0,0.0,0.0,0.0,0.0,5988.1,0.0,1340.6000000000001,67.7,290.90000000000003,71503.6,1797.8,0.0,0.0,5987.4,0.0,79285.1
GM0072,49207.6,256325.3,2656.6,3859.2,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,6117.1,251.70000000000002,1272.9,311680.3,8036.8,0.0,0.0,10125.4,0.0,329845.1
GM0074,152841.7,847536.7,5052.3,7759.5,149.8,1058.4,0.0,0.0,0.0,22510.6,0.0,19202.1,468.1,4133.7,1019609.5,17404.0,1207.9,0.0,22508.6,0.0,1060744.3
GM0080,416412.6,2093197.7,8136.0,10887.5,3492.0,23859.2,0.0,0.0,0.0,38852.4,0.0,53175.5,952.1,10317.9,2562964.4,30285.9,27352.4,0.0,38849.7,0.0,2659491.0
GM0085,73435.5,374241.9,3308.6,4560.1,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9161.4,300.3,1912.0,456843.7,10075.9,0.0,0.0,13163.2,0.0,480077.6
GM0086,84896.5,446735.9,3361.1,4765.1,0.0,0.0,0.0,0.0,0.0,13441.9,0.0,10606.1,304.5,2256.6,542237.8,10680.7,0.0,0.0,13441.0,0.0,566353.4
GM0088,3533.3,21249.7,393.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,3015.6,0.0,461.3,26.3,102.3,25247.0,521.9,0.0,0.0,3015.5,0.0,28782.3
GM0090,166670.7,917291.8,5190.3,7907.2,268.8,1988.6,0.0,0.0,0.0,23343.7,0.0,20975.3,486.8,4511.5,1104976.6,18089.8,2256.6,0.0,23341.7,0.0,1148684.2
GM0093,14186.0,79599.8,930.3,595.6,0.0,0.0,0.0,0.0,0.0,6651.4,0.0,1804.9,71.5,392.2,95588.4,1987.0,0.0,0.0,6650.6,0.0,104224.4
GM0096,3631.5,21960.5,393.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,3015.6,0.0,475.0,26.3,105.0,26069.6,524.6,0.0,0.0,3015.5,0.0,29607.8
GM0098,74880.3,384870.2,3311.2,4544.7,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9330.6,300.6,1953.6000000000001,469084.5,10103.9,0.0,0.0,13163.2,0.0,492354.4
GM0106,213019.4,1134395.1,5703.6,8439.4,837.8,5893.6,0.0,0.0,0.0,25778.6,0.0,26956.5,570.0,5550.7,1374437.6,20257.1,6730.6,0.0,25777.0,0.0,1427229.1
GM0109,99734.6,544226.5,3728.7999999999997,5157.0,0.0,0.0,0.0,0.0,0.0,16391.7,0.0,12514.300000000001,335.0,2723.5,656487.4,11940.4,0.0,0.0,16390.5,0.0,684810.6
GM0114,326559.1,1670794.6,7113.3,9868.1,2327.8,15785.8,0.0,0.0,0.0,33303.3,0.0,41628.200000000004,788.9,8417.7,2039120.0,26178.4,18113.5,0.0,33300.1,0.0,2116719.3
GM0118,164910.9,907043.2,5180.5,7821.3,236.79999999999998,1723.0,0.0,0.0,0.0,23229.4,0.0,20754.7,484.1,4426.7,1092747.1,17905.2,1959.1000000000001,0.0,23227.4,0.0,1135859.8
GM0119,103639.8,571558.8,3807.0,4978.2,0.0,0.0,0.0,0.0,0.0,17190.0,0.0,13023.2,341.0,2793.7000000000003,688241.3,11917.1,0.0,0.0,17188.8,0.0,717352.3
GM0141,222023.0,1174963.5,5809.9,8725.5,938.1999999999999,6498.0,0.0,0.0,0.0,26262.8,0.0,28133.100000000002,585.6,5765.0,1425192.7,20879.8,7435.7,0.0,26261.1,0.0,1479785.8
GM0147,64773.0,330477.8,3037.2,4178.2,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8071.1,278.0,1670.3000000000002,403320.9,9153.2,0.0,0.0,12623.0,0.0,425097.1
GM0148,77468.4,400987.1,3332.7999999999997,4564.5,0.0,0.0,0.0,0.0,0.0,13328.5,0.0,9656.9,302.0,2037.2,488114.6,10229.4,0.0,0.0,13327.4,0.0,511663.5
GM0150,305449.6,1570328.9,6867.2,9802.6,1973.2,13232.4,0.0,0.0,0.0,31970.3,0.0,38916.200000000004,744.6,7744.0,1914820.2,25148.3,15205.9,0.0,31967.2,0.0,1987151.9
GM0153,500625.2,2485578.3,9318.7,11934.3,4917.4,33812.0,0.0,0.0,0.0,44933.6,0.0,63957.0,1147.1,12281.900000000001,3050383.3,34672.0,38729.0,0.0,44930.8,0.0,3168768.3
GM0158,67935.8,350210.4,3041.6,4173.0,0.0,0.0,0.0,0.0,0.0,12666.9,0.0,8477.4,278.3,1768.3000000000002,426612.1,9252.1,0.0,0.0,12666.0,0.0,448522.2
GM0160,162476.2,895522.8,5145.3,7965.7,218.2,1560.8,0.0,0.0,0.0,23100.4,0.0,20440.0,479.90000000000003,4433.1,1078476.7,18016.5,1778.5,0.0,23098.5,0.0,1121397.0
GM0163,96153.2,518186.2,3630.5,5078.8,0.0,0.0,0.0,0.0,0.0,15610.9,0.0,12052.800000000001,326.3,2595.3,626406.0,11626.2,0.0,0.0,15609.7,0.0,653637.2
GM0164,257086.9,1338524.7,6227.0,9128.4,1403.2,9536.2,0.0,0.0,0.0,28596.5,0.0,32689.2,652.8,6592.900000000001,1628399.5,22593.2,10939.3,0.0,28594.6,0.0,1690549.7
GM0166,146942.9,818821.6,4979.7,7753.1,94.2,626.2,0.0,0.0,0.0,21993.1,0.0,18441.0,458.6,4013.9,984229.4,17196.2,720.4,0.0,21991.3,0.0,1024134.1
GM0168,62927.3,321092.0,3037.2,4180.2,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,7833.2,278.0,1629.7,391858.0,9115.4,0.0,0.0,12623.0,0.0,413591.7
GM0171,128597.5,719339.5,4540.1,6394.4,0.0,0.0,0.0,0.0,0.0,20094.7,0.0,16126.4,411.40000000000003,3550.4,864097.2,14894.4,0.0,0.0,20092.8,0.0,899094.8
GM0173,94511.8,506938.9,3573.7999999999997,5098.3,0.0,0.0,0.0,0.0,0.0,15037.9,0.0,11837.6,322.2,2511.7000000000003,613301.5,11500.1,0.0,0.0,15036.8,0.0,639834.1
GM0175,47015.8,249438.6,2656.6,4039.5,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,5869.2,251.70000000000002,1241.3,302346.9,8182.1,0.0,0.0,10125.4,0.0,320657.3
GM0177,103346.4,569562.6,3807.0,5220.9,0.0,0.0,0.0,0.0,0.0,17190.0,0.0,12985.1,341.0,2839.5,685914.4,12202.7,0.0,0.0,17188.8,0.0,715301.1
GM0180,36640.2,190516.0,2388.5,3612.4,0.0,0.0,0.0,0.0,0.0,9678.9,0.0,4540.900000000001,223.3,964.5,231741.3,7182.3,0.0,0.0,9677.5,0.0,248588.8
GM0183,53956.2,280599.3,2690.6,4117.5,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6701.900000000001,254.3,1387.2,341277.6,8444.3,0.0,0.0,10333.7,0.0,360063.0
GM0184,41640.0,219853.6,2642.2,3987.7,0.0,0.0,0.0,0.0,0.0,9957.5,0.0,5178.2,250.5,1109.8,266711.1,7984.0,0.0,0.0,9956.1,0.0,284645.0
GM0189,63457.7,324463.7,3037.2,4147.9,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,7901.5,278.0,1646.5,395825.8,9100.7,0.0,0.0,12623.0,0.0,417543.8
GM0193,393351.7,1986224.8,7866.3,10315.4,3234.2,22118.0,0.0,0.0,0.0,37397.1,0.0,50211.9,913.6,9787.0,2429953.7,28873.9,25353.9,0.0,37394.5,0.0,2521601.2
GM0197,77335.7,400132.7,3325.2999999999997,4694.5,0.0,0.0,0.0,0.0,0.0,13289.6,0.0,9640.0,301.5,2025.3000000000002,487110.4,10340.1,0.0,0.0,13288.5,0.0,510727.9
GM0200,488340.2,2428980.5,9134.8,11696.8,4688.2,32323.6,0.0,0.0,0.0,43781.3,0.0,62387.4,1116.9,12144.800000000001,2979924.8,34087.2,37011.4,0.0,43778.3,0.0,3094849.5
GM0202,512738.7,2540828.5,9532.4,12109.3,5163.6,35489.0,0.0,0.0,0.0,46090.9,0.0,65505.700000000004,1180.7,12274.1,3119302.3,35084.5,40652.3,0.0,46087.7,0.0,3241231.0
GM0203,149599.0,830512.1,5016.2,7596.7,115.0,731.8,0.0,0.0,0.0,22266.2,0.0,18786.8,463.1,4070.6000000000004,998924.5,17139.0,846.8,0.0,22264.3,0.0,1039189.6
GM0209,72552.2,368668.1,3304.4,4547.7,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9055.9,299.90000000000003,1868.4,450278.5,10014.1,0.0,0.0,13163.2,0.0,473445.8
GM0213,59926.2,307608.3,2701.7,4047.4,0.0,0.0,0.0,0.0,0.0,10413.3,0.0,7450.3,255.1,1561.8,374999.4,8561.4,0.0,0.0,10412.1,0.0,393974.9
GM0214,70491.8,361289.5,3308.6,4551.5,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8805.3,300.3,1847.8000000000002,440572.5,10003.6,0.0,0.0,13163.2,0.0,463733.4
GM0216,82125.5,430748.7,3355.2,4546.0,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,10250.800000000001,304.1,2129.8,523118.9,10330.5,0.0,0.0,13384.9,0.0,546845.1
GM0221,34121.1,181347.8,1653.4,1960.7,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4273.8,146.8,906.7,219781.5,4663.9,0.0,0.0,9480.8,0.0,233909.3
GM0222,171181.3,941202.1,5227.6,7933.0,332.4,2439.6,0.0,0.0,0.0,23464.8,0.0,21553.2,494.8,4605.7,1133979.8,18252.3,2771.0,0.0,23462.7,0.0,1178488.1
GM0225,51159.5,264478.6,2675.5,4067.4,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6357.400000000001,253.0,1319.2,322024.1,8309.9,0.0,0.0,10250.4,0.0,340592.9
GM0226,69460.0,357685.0,3128.6,4205.2,0.0,0.0,0.0,0.0,0.0,12789.2,0.0,8668.6,285.90000000000003,1805.0,435802.5,9418.4,0.0,0.0,12788.2,0.0,458008.8
GM0228,330167.1,1688283.1,7149.9,9862.8,2358.4,15979.4,0.0,0.0,0.0,33530.1,0.0,42092.3,794.2,8353.1,2060682.3,26150.3,18338.0,0.0,33526.9,0.0,2138711.2
GM0230,61258.5,312793.0,2709.2999999999997,4105.3,0.0,0.0,0.0,0.0,0.0,10413.3,0.0,7620.2,255.9,1577.7,381680.4,8643.2,0.0,0.0,10412.1,0.0,400743.0
GM0232,94689.8,508104.4,3585.7999999999997,5104.6,0.0,0.0,0.0,0.0,0.0,15104.0,0.0,11861.300000000001,323.0,2532.7000000000003,614669.6,11538.9,0.0,0.0,15102.9,0.0,641297.9
GM0233,73059.0,371839.1,3308.6,4628.2,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9113.7,300.3,1858.4,454019.0,10090.5,0.0,0.0,13163.2,0.0,477272.2
GM0243,133289.1,750683.7,4652.8,6777.6,0.0,0.0,0.0,0.0,0.0,20762.2,0.0,16727.3,421.8,3612.4,900731.9,15462.6,0.0,0.0,20760.0,0.0,936959.4
GM0244,33882.1,180282.3,1653.4,2026.8,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4253.3,146.8,908.2,218456.9,4730.5,0.0,0.0,9480.8,0.0,232653.4
GM0246,50007.5,259183.4,2675.5,4046.5,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6219.8,253.0,1299.1000000000001,315441.7,8269.8,0.0,0.0,10250.4,0.0,333961.0
GM0252,44614.6,240522.1,2656.6,3997.1,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,5569.900000000001,251.70000000000002,1189.2,290736.1,8088.9,0.0,0.0,10125.4,0.0,308953.6
GM0262,97485.0,527270.7,3648.7999999999997,5137.7,0.0,0.0,0.0,0.0,0.0,15656.6,0.0,12221.5,328.40000000000003,2625.5,636988.8,11735.6,0.0,0.0,15655.4,0.0,664377.2
GM0263,65493.4,334543.5,3037.2,4072.5,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8163.8,278.0,1710.8000000000002,408199.8,9089.1,0.0,0.0,12623.0,0.0,429907.2
GM0267,112241.3,632559.4,3901.7,5479.3,0.0,0.0,0.0,0.0,0.0,17738.7,0.0,14105.4,350.40000000000003,3110.9,758932.3,12837.8,0.0,0.0,17737.4,0.0,789510.1
GM0268,541369.2,2670996.3,9970.2,12442.1,5685.6,39012.0,0.0,0.0,0.0,48390.9,0.0,69154.40000000001,1252.0,13004.1,3281758.8,36658.4,44697.7,0.0,48387.6,0.0,3411583.2
GM0269,60221.9,309110.3,2701.7,4029.0,0.0,0.0,0.0,0.0,0.0,10413.3,0.0,7486.900000000001,255.1,1556.9,376833.5,8536.8,0.0,0.0,10412.1,0.0,395786.2
GM0273,63272.5,323092.9,3037.2,4132.5,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,7878.1,278.0,1627.9,394246.8,9065.2,0.0,0.0,12623.0,0.0,415940.3
GM0274,96543.3,521087.1,3635.0,5144.8,0.0,0.0,0.0,0.0,0.0,15656.6,0.0,12102.0,326.6,2554.7000000000003,629745.1,11654.3,0.0,0.0,15655.4,0.0,657049.3
GM0275,136527.3,771600.0,4776.1,7547.5,0.0,0.0,0.0,0.0,0.0,21036.4,0.0,17096.9,434.0,3731.8,925240.8,16484.6,0.0,0.0,21034.5,0.0,962773.3
GM0277,4228.6,25455.9,398.5,0.0,0.0,0.0,0.0,0.0,0.0,3051.8,0.0,551.1,26.700000000000003,125.0,30236.0,550.3,0.0,0.0,3051.7000000000003,0.0,33835.4
GM0279,26095.9,140620.2,1584.9,1816.3,0.0,0.0,0.0,0.0,0.0,9082.6,0.0,3326.9,140.70000000000002,707.5,170078.5,4244.4,0.0,0.0,9080.9,0.0,183389.9
GM0281,118645.3,662497.4,4230.7,6230.3,0.0,0.0,0.0,0.0,0.0,17979.8,0.0,14862.1,385.5,3215.1,796042.5,14056.7,0.0,0.0,17978.1,0.0,828079.3
GM0285,69307.0,356873.1,3041.6,4167.4,0.0,0.0,0.0,0.0,0.0,12666.9,0.0,8649.2,278.3,1786.1000000000001,434819.0,9264.9,0.0,0.0,12666.0,0.0,456755.7
GM0289,117789.3,659462.9,3959.4,5643.6,0.0,0.0,0.0,0.0,0.0,17861.4,0.0,14757.0,356.7,3091.3,792042.9,13044.0,0.0,0.0,17860.1,0.0,822930.6
GM0293,41604.6,219042.9,2642.2,4123.1,0.0,0.0,0.0,0.0,0.0,9957.5,0.0,5175.7,250.5,1102.0,265862.1,8111.4,0.0,0.0,9956.1,0.0,283922.1
GM0294,84790.9,446063.0,3361.1,4847.9,0.0,0.0,0.0,0.0,0.0,13441.9,0.0,10593.2,304.5,2227.0,541446.2,10734.2,0.0,0.0,13441.0,0.0,565608.3
GM0296,118107.7,660617.6,4199.6,6147.4,0.0,0.0,0.0,0.0,0.0,17950.2,0.0,14795.4,382.0,3231.4,793555.0,13955.2,0.0,0.0,17948.6,0.0,825472.1
GM0297,75736.7,390360.6,3320.6,4561.2,0.0,0.0,0.0,0.0,0.0,13254.8,0.0,9435.7,301.2,1989.5,475536.7,10167.6,0.0,0.0,13253.8,0.0,498949.3
GM0299,130246.2,731215.4,4581.1,6606.0,0.0,0.0,0.0,0.0,0.0,20332.0,0.0,16335.4,415.5,3581.1000000000004,877831.1,15180.9,0.0,0.0,20330.0,0.0,913359.4
GM0301,145778.2,813025.2,4961.2,7469.2,68.2,434.6,0.0,0.0,0.0,21895.7,0.0,18289.9,455.1,3912.6000000000004,977117.7,16792.2,502.8,0.0,21893.9,0.0,1016321.3
GM0302,72380.6,367528.9,3308.6,4632.1,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9036.0,300.3,1864.9,448945.7,10098.9,0.0,0.0,13163.2,0.0,472194.9
GM0303,115069.2,649088.7,3924.2,5404.9,0.0,0.0,0.0,0.0,0.0,17738.7,0.0,14442.2,353.0,3201.9,778634.3,12877.8,0.0,0.0,17737.4,0.0,809249.3
GM0307,454551.2,2271309.7,8652.5,11040.4,4075.4,28062.4,0.0,0.0,0.0,41605.8,0.0,58065.1,1034.3,11191.1,2784125.7,31908.100000000002,32139.1,0.0,41602.7,0.0,2889826.3
GM0308,74997.9,385657.4,3311.2,4734.4,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9345.5,300.6,1903.9,470004.2,10243.2,0.0,0.0,13163.2,0.0,493408.4
GM0310,127228.2,710819.2,4482.4,6586.3,0.0,0.0,0.0,0.0,0.0,19727.9,0.0,15949.5,406.40000000000003,3424.9,854030.6,14894.2,0.0,0.0,19726.2,0.0,888643.7
GM0312,39774.1,208024.0,2632.0,3943.9,0.0,0.0,0.0,0.0,0.0,9936.8,0.0,4965.3,249.5,1044.6000000000001,252801.9,7866.1,0.0,0.0,9935.4,0.0,270598.5
GM0313,53491.8,278317.0,2690.6,4125.6,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6644.400000000001,254.3,1384.7,338476.1,8447.4,0.0,0.0,10333.7,0.0,357259.9
GM0317,25821.6,139519.3,1584.9,1730.4,0.0,0.0,0.0,0.0,0.0,9082.6,0.0,3292.2000000000003,140.70000000000002,707.7,168667.9,4160.3,0.0,0.0,9080.9,0.0,181891.4
GM0321,133319.9,750910.0,4652.8,6705.4,0.0,0.0,0.0,0.0,0.0,20762.2,0.0,16731.2,421.8,3648.8,900993.0,15425.1,0.0,0.0,20760.0,0.0,937185.4
GM0327,85801.1,451884.9,3361.1,4599.2,0.0,0.0,0.0,0.0,0.0,13441.9,0.0,10725.9,304.5,2268.1,548414.6,10529.9,0.0,0.0,13441.0,0.0,572372.3
GM0331,36603.7,190413.0,2008.0,2960.4,0.0,0.0,0.0,0.0,0.0,9633.5,0.0,4536.5,182.5,964.4000000000001,231597.4,6109.4,0.0,0.0,9632.1,0.0,247327.5
GM0335,36529.5,190037.0,1812.5,2348.8,0.0,0.0,0.0,0.0,0.0,9579.1,0.0,4527.5,162.0,957.6,231137.8,5276.2,0.0,0.0,9577.6,0.0,245983.3
GM0339,13209.7,74520.8,925.3,567.9,0.0,0.0,0.0,0.0,0.0,6601.1,0.0,1676.4,71.2,364.2,89409.7,1926.8,0.0,0.0,6600.3,0.0,97933.9
GM0340,51675.1,267097.1,2675.5,4120.5,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6420.8,253.0,1328.0,325221.4,8370.5,0.0,0.0,10250.4,0.0,343846.8
GM0342,134927.2,761941.1,4674.8,6967.5,0.0,0.0,0.0,0.0,0.0,20863.7,0.0,16921.0,424.0,3642.5,913812.0,15704.7,0.0,0.0,20861.6,0.0,950390.6
GM0344,941019.4,4379582.5,33228.1,51766.4,60258.8,403904.0,0.0,0.0,0.0,106190.6,0.0,117288.0,6901.5,21278.5,5438253.6,113122.0,464365.3,0.0,106188.8,0.0,6122126.2
GM0345,185936.6,1009412.9,5394.5,8235.0,451.59999999999997,3290.6,0.0,0.0,0.0,24261.0,0.0,23458.3,517.5,4845.8,1218858.3,18985.7,3741.3,0.0,24259.1,0.0,1265867.9
GM0351,34003.5,180708.4,1653.4,2000.9,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4265.400000000001,146.8,910.1,219015.7,4706.7,0.0,0.0,9480.8,0.0,233185.3
GM0352,65719.3,336534.9,3037.2,4144.1,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8192.8,278.0,1688.1000000000001,410445.7,9138.0,0.0,0.0,12623.0,0.0,432212.8
GM0353,93222.0,498405.7,3482.2,4972.9,0.0,0.0,0.0,0.0,0.0,14187.6,0.0,11668.5,314.90000000000003,2431.9,603309.2,11195.4,0.0,0.0,14186.4,0.0,628698.5
GM0355,192411.2,1039679.0,5462.3,8298.5,534.2,3943.8,0.0,0.0,0.0,24553.6,0.0,24289.9,528.9,4943.3,1256435.2,19227.6,4477.4,0.0,24551.6,0.0,1304722.7
GM0356,191506.0,1036188.9,5451.7,8337.5,517.0,3789.0,0.0,0.0,0.0,24517.7,0.0,24171.2,526.9,4968.7,1251919.6,19278.1,4305.4,0.0,24515.7,0.0,1300040.4
GM0358,86129.2,453273.9,3365.4,4843.0,0.0,0.0,0.0,0.0,0.0,13473.3,0.0,10769.2,304.8,2258.1,550174.7,10764.5,0.0,0.0,13472.4,0.0,574408.5
GM0361,341309.4,1740772.7,7318.5,10048.5,2477.0,16711.6,0.0,0.0,0.0,34302.8,0.0,43521.8,816.3,8522.5,2125750.1,26697.3,19188.8,0.0,34299.8,0.0,2205979.5
GM0362,279424.7,1445303.7,6513.4,9493.2,1692.2,11565.4,0.0,0.0,0.0,30073.4,0.0,35566.1,696.2,6874.900000000001,1760410.9,23569.9,13257.9,0.0,30071.0,0.0,1827332.7
GM0363,2596601.1,12748819.3,73046.5,122023.2,293107.2,1754737.0,0.0,0.0,0.0,263291.1,0.0,322653.8,25664.8,57611.700000000004,15668395.0,278201.7,2049180.7,0.0,263286.2,0.0,18259550.6
GM0373,98180.4,532230.3,3702.4,5160.2,0.0,0.0,0.0,0.0,0.0,16109.6,0.0,12312.800000000001,333.0,2604.0,642734.5,11790.7,0.0,0.0,16108.5,0.0,670637.7
GM0375,125930.8,702992.0,4461.5,6304.2,0.0,0.0,0.0,0.0,0.0,19598.5,0.0,15787.1,404.40000000000003,3355.3,844744.5,14520.4,0.0,0.0,19596.8,0.0,878833.1
GM0376,33144.3,177411.5,1650.2,1875.3,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4180.6,146.4,894.6,214776.8,4563.6,0.0,0.0,9480.8,0.0,228807.7
