,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
GM0377,65183.7,332498.7,3037.2,4175.8,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8124.3,278.0,1647.2,405804.9,9128.1,0.0,0.0,12623.0,0.0,427559.6
GM0383,104876.9,579118.6,3807.0,5337.1,0.0,0.0,0.0,0.0,0.0,17190.0,0.0,13178.9,341.0,2835.9,697196.6,12315.2,0.0,0.0,17188.8,0.0,726705.0
GM0384,99562.4,543239.4,3728.7999999999997,4983.1,0.0,0.0,0.0,0.0,0.0,16391.7,0.0,12492.300000000001,335.0,2528.6,655305.7,11570.7,0.0,0.0,16390.5,0.0,683246.9
GM0385,99194.6,540969.7,3722.5,5261.5,0.0,0.0,0.0,0.0,0.0,16342.0,0.0,12444.0,334.5,2704.8,652619.0,12014.9,0.0,0.0,16340.8,0.0,680970.9
GM0388,55939.0,289408.6,2690.6,4077.9,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6946.3,254.3,1430.9,352310.6,8447.1,0.0,0.0,10333.7,0.0,371097.4
GM0392,508405.4,2521092.6,9443.6,12110.4,5046.6,34794.6,0.0,0.0,0.0,45625.0,0.0,64951.3,1165.7,12149.5,3094676.5,34856.6,39841.0,0.0,45622.2,0.0,3215103.8
GM0394,430907.8,2161343.5,8346.0,10788.5,3700.8,25332.0,0.0,0.0,0.0,39938.8,0.0,55030.6,983.1,10876.0,2647474.1,30984.0,29033.0,0.0,39936.0,0.0,2747434.7
GM0396,114236.4,645006.0,3921.1,5466.0,0.0,0.0,0.0,0.0,0.0,17738.7,0.0,14342.5,352.6,3087.3,773616.9,12819.0,0.0,0.0,17737.4,0.0,804176.0
GM0397,82868.4,435052.0,3355.2,4797.0,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,10344.4,304.1,2133.2000000000003,528257.5,10584.5,0.0,0.0,13384.9,0.0,552216.6
GM0399,70665.4,361842.3,3308.6,4495.0,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8826.0,300.3,1802.2,441320.7,9900.0,0.0,0.0,13163.2,0.0,464378.2
GM0400,184330.8,1002275.8,5365.6,8268.8,433.0,3135.4,0.0,0.0,0.0,24102.9,0.0,23250.7,514.0,4873.0,1209906.5,19016.3,3567.9,0.0,24101.1,0.0,1256635.6
GM0402,283898.3,1466642.7,6554.8,9378.0,1757.0,11929.2,0.0,0.0,0.0,30292.7,0.0,36142.0,703.9,7090.1,1786802.4,23716.9,13685.9,0.0,30290.1,0.0,1854534.8
GM0405,221104.4,1170341.7,5785.1,8561.8,929.1999999999999,6442.8,0.0,0.0,0.0,26145.2,0.0,28014.5,582.9,5760.400000000001,1419532.7,20679.4,7371.6,0.0,26143.5,0.0,1473726.0
GM0406,123205.9,682801.8,4374.2,6484.3,0.0,0.0,0.0,0.0,0.0,18807.0,0.0,15444.5,397.40000000000003,3319.9,821487.9,14568.3,0.0,0.0,18805.3,0.0,854860.8
GM0415,31523.8,169811.7,1623.9,1969.9,0.0,0.0,0.0,0.0,0.0,9332.8,0.0,3995.1,144.1,851.6,205375.7,4584.9,0.0,0.0,9331.2,0.0,219274.7
GM0417,34911.0,184005.1,1663.4,2062.4,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4357.900000000001,148.20000000000002,929.0,223316.6,4798.4,0.0,0.0,9480.8,0.0,237579.1
GM0420,124182.9,689824.4,4383.9,6439.2,0.0,0.0,0.0,0.0,0.0,18868.0,0.0,15567.6,398.3,3416.9,829611.0,14632.6,0.0,0.0,18866.3,0.0,863116.5
GM0431,26003.9,140223.5,1584.9,1728.0,0.0,0.0,0.0,0.0,0.0,9082.6,0.0,3315.3,140.70000000000002,703.6,169578.1,4154.5,0.0,0.0,9080.9,0.0,182798.7
GM0432,31949.6,171701.3,1630.0,1996.4,0.0,0.0,0.0,0.0,0.0,9399.1,0.0,4040.4,144.5,861.8000000000001,207734.8,4628.6,0.0,0.0,9397.5,0.0,221743.1
GM0437,38607.6,200086.0,2627.2999999999997,3773.6,0.0,0.0,0.0,0.0,0.0,9887.2,0.0,4804.900000000001,249.20000000000002,975.7,243538.7,7621.9,0.0,0.0,9885.8,0.0,261038.2
GM0439,269925.1,1419326.9,7666.8,10209.4,1261.4,8628.2,0.0,0.0,0.0,36929.4,0.0,34289.0,771.6,6945.6,1723663.5,25584.4,9889.9,0.0,36926.1,0.0,1796065.4
GM0441,132376.3,744941.0,4631.2,6837.4,0.0,0.0,0.0,0.0,0.0,20592.0,0.0,16610.2,420.0,3653.7000000000003,893959.8,15538.2,0.0,0.0,20589.9,0.0,930112.6
GM0448,41744.5,220508.0,2642.2,4111.5,0.0,0.0,0.0,0.0,0.0,9957.5,0.0,5192.400000000001,250.5,1106.6000000000001,267483.7,8104.8,0.0,0.0,9956.1,0.0,285538.9
GM0450,36520.1,190004.6,1742.8999999999999,2168.5,0.0,0.0,0.0,0.0,0.0,9579.1,0.0,4526.900000000001,154.8,952.0,231095.4,5014.8,0.0,0.0,9577.6,0.0,245677.5
GM0451,85981.7,452605.6,3361.1,4735.9,0.0,0.0,0.0,0.0,0.0,13441.9,0.0,10749.6,304.5,2232.0,549340.3,10625.9,0.0,0.0,13441.0,0.0,573406.2
GM0453,205607.9,1100283.0,5625.1,8661.7,699.8,4973.0,0.0,0.0,0.0,25441.2,0.0,26000.0,553.6,5310.7,1331953.9,20142.6,5672.1,0.0,25439.6,0.0,1383224.1
GM0473,61820.8,315169.9,2921.0,4072.2,0.0,0.0,0.0,0.0,0.0,11616.4,0.0,7689.1,270.2,1504.0,384690.5,8760.0,0.0,0.0,11615.2,0.0,405068.0
GM0479,456406.9,2280307.7,8676.5,11383.0,4127.6,28493.2,0.0,0.0,0.0,41677.3,0.0,58303.3,1040.2,11266.0,2795218.2,32357.8,32622.2,0.0,41674.1,0.0,2901904.7
GM0482,52569.3,273035.6,2681.0,4074.4,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6531.5,253.70000000000002,1335.2,332162.5,8339.3,0.0,0.0,10250.4,0.0,350759.5
GM0484,323181.0,1654437.9,7087.8,9943.3,2264.0,15267.6,0.0,0.0,0.0,33160.0,0.0,41196.5,782.6,8154.1,2018952.9,25957.5,17531.1,0.0,33156.8,0.0,2095597.3
GM0489,125416.4,699902.6,4429.1,6319.4,0.0,0.0,0.0,0.0,0.0,19279.7,0.0,15719.4,401.90000000000003,3397.1,841073.8,14544.3,0.0,0.0,19278.0,0.0,874908.0
GM0498,52518.2,272695.1,2681.0,4033.5,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6525.2,253.70000000000002,1367.9,331764.6,8331.0,0.0,0.0,10250.4,0.0,350354.6
GM0502,206362.0,1103595.4,5631.5,8353.6,715.4,5052.8,0.0,0.0,0.0,25441.2,0.0,26097.0,555.5,5165.6,1336117.0,19703.3,5767.6,0.0,25439.6,0.0,1387062.1
GM0503,340479.8,1737130.5,7310.599999999999,10217.4,2458.2,16593.6,0.0,0.0,0.0,34261.4,0.0,43414.3,814.4,8097.5,2121169.9,26429.100000000002,19052.0,0.0,34258.4,0.0,2200971.0
GM0505,369062.0,1872707.5,7637.2,10405.6,2824.6,19148.6,0.0,0.0,0.0,36059.4,0.0,47088.6,866.7,9075.5,2289019.5,27977.3,21973.6,0.0,36056.6,0.0,2375065.4
GM0512,111695.1,629782.1,3898.4,5420.4,0.0,0.0,0.0,0.0,0.0,17738.7,0.0,14046.300000000001,350.0,2990.5,755552.2,12653.5,0.0,0.0,17737.4,0.0,785927.0
GM0513,221512.4,1172403.1,5798.5,8741.4,938.1999999999999,6498.0,0.0,0.0,0.0,26186.6,0.0,28067.0,584.7,5647.7,1422054.7,20764.1,7435.7,0.0,26185.0,0.0,1476457.7
GM0518,1370923.8,6277312.7,41618.299999999996,68720.7,279791.4,1664450.0,0.0,0.0,0.0,128523.9,0.0,169367.9,21926.0,29089.100000000002,7818013.7,161295.7,1945637.5,0.0,128519.8,0.0,10053766.2
GM0523,46489.2,247625.0,2656.6,4041.0,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,5811.3,251.70000000000002,1220.9,299949.0,8164.1,0.0,0.0,10125.4,0.0,318234.4
GM0531,79491.6,414867.9,3332.7999999999997,4495.0,0.0,0.0,0.0,0.0,0.0,13328.5,0.0,9915.1,302.0,2067.9,504277.7,10192.4,0.0,0.0,13327.4,0.0,527789.9
GM0532,58700.7,302259.0,2701.7,4104.6,0.0,0.0,0.0,0.0,0.0,10413.3,0.0,7296.6,255.1,1530.2,368270.8,8585.8,0.0,0.0,10412.1,0.0,387273.4
GM0534,62972.5,321324.3,3037.2,4012.0,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,7839.2,278.0,1588.5,392140.8,8907.6,0.0,0.0,12623.0,0.0,413670.3
GM0537,175882.6,962738.7,5256.8,8253.2,363.0,2698.4,0.0,0.0,0.0,23638.3,0.0,22159.7,499.40000000000003,4582.0,1160824.1,18581.7,3060.7,0.0,23636.4,0.0,1206139.8
GM0542,81692.9,427745.2,3337.2,4585.6,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,10195.2,302.3,2115.7000000000003,519629.7,10334.7,0.0,0.0,13384.9,0.0,543342.5
GM0546,400209.8,2018261.7,7942.0,10808.1,3319.8,22650.6,0.0,0.0,0.0,37733.7,0.0,51093.700000000004,925.8,9528.0,2469734.1,29193.9,25972.0,0.0,37731.2,0.0,2562721.0
GM0547,79773.8,416731.0,3337.2,4662.0,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,9950.7,302.3,2023.5,506459.0,10318.1,0.0,0.0,13384.9,0.0,530157.4
GM0553,66839.9,343419.5,3037.2,4063.1,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8333.5,278.0,1698.0,418586.4,9068.8,0.0,0.0,12623.0,0.0,440265.4
GM0556,99010.7,539712.8,3717.2999999999997,5188.3,0.0,0.0,0.0,0.0,0.0,16292.3,0.0,12420.7,334.1,2571.0,651155.0,11803.5,0.0,0.0,16291.1,0.0,679237.3
GM0569,74683.1,383599.1,3311.2,4632.6,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9306.4,300.6,1952.7,467592.9,10191.9,0.0,0.0,13163.2,0.0,490940.6
GM0575,129666.5,727201.2,4565.0,6764.3,0.0,0.0,0.0,0.0,0.0,20274.4,0.0,16260.2,413.7,3482.0,873162.6,15220.6,0.0,0.0,20272.5,0.0,908663.7
GM0579,71244.5,363276.3,3308.6,4535.6,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8896.9,300.3,1781.3000000000002,443408.2,9920.4,0.0,0.0,13163.2,0.0,466491.1
GM0589,27464.0,148544.1,1608.9,1955.9,0.0,0.0,0.0,0.0,0.0,9271.4,0.0,3508.6,142.5,743.5,179547.5,4446.0,0.0,0.0,9269.8,0.0,193246.3
GM0590,93460.6,499728.5,3489.7999999999997,5001.4,0.0,0.0,0.0,0.0,0.0,14187.6,0.0,11698.6,315.90000000000003,2428.4,604902.0,11230.0,0.0,0.0,14186.4,0.0,630326.8
GM0597,136867.2,773537.6,4840.7,7645.3,0.0,0.0,0.0,0.0,0.0,21095.7,0.0,17141.9,441.2,3652.2000000000003,927563.3,16571.1,0.0,0.0,21093.8,0.0,965230.7
GM0599,1708947.7,8084218.0,51310.4,82343.9,280353.8,1670091.8,0.0,0.0,0.0,179486.1,0.0,211659.4,22756.3,37613.1,10005126.7,193936.6,1951839.8,0.0,179483.8,0.0,12330715.7
GM0603,176160.6,964110.5,5264.2,8232.3,369.8,2743.2,0.0,0.0,0.0,23638.3,0.0,22196.0,500.8,4406.8,1162510.7,18397.4,3112.3,0.0,23636.4,0.0,1207660.3
GM0606,246949.2,1292821.1,6094.5,9094.6,1278.6,8823.2,0.0,0.0,0.0,27875.5,0.0,31365.7,633.0,5967.0,1571226.1,21780.0,10102.0,0.0,27873.9,0.0,1631016.4
GM0610,71701.3,365084.7,3308.6,4548.1,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8954.5,300.3,1791.8000000000002,445735.1,9940.6,0.0,0.0,13163.2,0.0,468831.2
GM0613,67891.3,350009.1,3041.6,3857.6,0.0,0.0,0.0,0.0,0.0,12666.9,0.0,8471.5,278.3,1760.4,426360.5,8930.9,0.0,0.0,12666.0,0.0,447948.2
GM0622,234477.0,1231394.9,5976.9,8796.6,1158.0,7910.4,0.0,0.0,0.0,27150.5,0.0,29759.8,615.0,5738.900000000001,1495713.1,21118.7,9068.4,0.0,27148.8,0.0,1553066.7
GM0626,74080.3,378132.0,3311.2,4677.9,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9238.7,300.6,1850.2,461455.9,10134.4,0.0,0.0,13163.2,0.0,484759.0
GM0627,82669.4,433648.1,3350.7999999999997,4734.1,0.0,0.0,0.0,0.0,0.0,13342.9,0.0,10320.1,303.8,2130.2000000000003,526629.0,10514.4,0.0,0.0,13341.9,0.0,550477.4
GM0629,78947.9,411714.0,3332.7999999999997,4638.1,0.0,0.0,0.0,0.0,0.0,13328.5,0.0,9845.4,302.0,2044.0,500510.1,10310.2,0.0,0.0,13327.4,0.0,524140.6
GM0632,144709.0,807576.2,4951.8,7452.1,59.2,360.6,0.0,0.0,0.0,21792.3,0.0,18154.9,453.8,3909.8,970464.5,16762.8,419.7,0.0,21790.5,0.0,1009454.2
GM0637,372860.6,1890055.4,7660.099999999999,10312.9,2897.6,19626.6,0.0,0.0,0.0,36152.5,0.0,47574.9,873.6,9148.2,2310652.7,27987.0,22525.0,0.0,36149.7,0.0,2397379.3
GM0638,24324.7,132203.8,1053.6,687.2,0.0,0.0,0.0,0.0,0.0,7574.8,0.0,3099.1,81.60000000000001,650.9,159655.7,2470.9,0.0,0.0,7573.9,0.0,169686.2
GM0642,133603.3,753038.1,4655.5,6833.3,0.0,0.0,0.0,0.0,0.0,20762.2,0.0,16767.3,422.1,3582.9,903440.7,15490.2,0.0,0.0,20760.0,0.0,939693.2
GM0654,62690.3,319726.1,3037.2,4233.4,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,7802.8,278.0,1637.2,390225.7,9176.6,0.0,0.0,12623.0,0.0,412022.9
GM0664,120953.9,670147.2,4300.7,6336.6,0.0,0.0,0.0,0.0,0.0,18285.3,0.0,15156.9,391.90000000000003,3260.5,806293.7,14283.6,0.0,0.0,18283.6,0.0,838868.6
GM0668,52152.4,270402.5,2681.0,4128.9,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6479.900000000001,253.70000000000002,1359.5,329062.3,8417.3,0.0,0.0,10250.4,0.0,347737.4
GM0677,88032.4,466261.6,3372.7999999999997,4757.6,0.0,0.0,0.0,0.0,0.0,13550.9,0.0,11007.4,305.3,2358.2000000000003,565303.9,10787.1,0.0,0.0,13550.0,0.0,589639.6
GM0678,35072.2,184633.3,1669.9,2046.1,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4372.400000000001,148.70000000000002,937.6,224120.7,4796.9,0.0,0.0,9480.8,0.0,238387.4
GM0687,154161.3,855800.0,5059.9,7819.6,158.6,1180.2,0.0,0.0,0.0,22572.8,0.0,19368.7,469.3,4147.8,1029359.9,17490.0,1338.5,0.0,22570.9,0.0,1070767.7
GM0703,59237.3,304751.4,2701.7,4233.4,0.0,0.0,0.0,0.0,0.0,10413.3,0.0,7362.8,255.1,1542.8,371366.6,8726.5,0.0,0.0,10412.1,0.0,390500.8
GM0715,175132.3,959227.3,5249.3,8145.1,358.4,2674.0,0.0,0.0,0.0,23596.9,0.0,22064.4,498.40000000000003,4735.2,1156467.5,18620.5,3031.7,0.0,23594.9,0.0,1201738.1
GM0716,71848.1,365502.3,3308.6,4637.5,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8972.4,300.3,1863.9,446318.4,10102.2,0.0,0.0,13163.2,0.0,469577.8
GM0717,70946.7,362518.5,3308.6,4619.1,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8859.3,300.3,1852.7,442313.5,10073.9,0.0,0.0,13163.2,0.0,465537.9
GM0718,147804.8,822775.1,4982.5,7653.5,99.4,666.6,0.0,0.0,0.0,21993.1,0.0,18553.7,459.3,3942.7000000000003,989157.1,17033.8,766.0,0.0,21991.3,0.0,1028957.8
GM0736,120502.2,668663.7,4285.5,6291.5,0.0,0.0,0.0,0.0,0.0,18285.3,0.0,15098.300000000001,390.1,3272.6,804299.7,14234.2,0.0,0.0,18283.6,0.0,836825.6
GM0737,90341.8,483002.9,3425.2,5044.1,0.0,0.0,0.0,0.0,0.0,13837.9,0.0,11287.0,309.90000000000003,2438.6,584637.0,11212.1,0.0,0.0,13836.9,0.0,609680.5
GM0743,43273.0,230694.4,2654.2,4069.0,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,5398.6,251.4,1154.7,279400.6,8123.8,0.0,0.0,10125.4,0.0,297653.6
GM0744,18551.9,103107.4,998.3,565.3,0.0,0.0,0.0,0.0,0.0,7273.8,0.0,2365.2000000000003,76.3,515.0,124034.8,2154.1,0.0,0.0,7272.8,0.0,133454.5
GM0748,201966.3,1082793.4,5576.7,8568.2,667.4,4751.8,0.0,0.0,0.0,25163.9,0.0,25531.5,547.5,5307.400000000001,1310352.5,19991.0,5418.4,0.0,25162.3,0.0,1360925.3
GM0753,84007.8,441645.5,3355.2,4855.4,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,10490.4,304.1,2207.6,536142.7,10717.5,0.0,0.0,13384.9,0.0,560244.4
GM0755,27837.3,150490.1,1608.9,1822.7,0.0,0.0,0.0,0.0,0.0,9271.4,0.0,3552.3,142.5,758.1,181912.0,4328.0,0.0,0.0,9269.8,0.0,195495.2
GM0757,92727.0,491755.8,3775.1,4684.0,0.0,0.0,0.0,0.0,0.0,16607.0,0.0,11616.0,332.3,2429.3,596100.5,11215.6,0.0,0.0,16605.9,0.0,623919.1
GM0758,560242.6,2756026.9,10283.3,12426.8,6065.2,41573.8,0.0,0.0,0.0,49879.0,0.0,71564.7,1302.8,13604.1,3388082.3,37609.2,47638.6,0.0,49875.9,0.0,3523269.3
GM0762,89991.7,480372.8,3425.2,4978.4,0.0,0.0,0.0,0.0,0.0,13837.9,0.0,11243.0,309.90000000000003,2423.9,581613.9,11130.8,0.0,0.0,13836.9,0.0,606571.0
GM0765,36536.5,190063.9,1824.1,2357.2,0.0,0.0,0.0,0.0,0.0,9579.1,0.0,4528.400000000001,163.20000000000002,972.7,231172.6,5313.3,0.0,0.0,9577.6,0.0,246042.9
GM0766,73775.8,376129.1,3311.2,4571.8,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9203.3,300.6,1902.5,459114.9,10082.3,0.0,0.0,13163.2,0.0,482360.9
GM0770,53083.0,275996.1,2690.6,4158.3,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6594.0,254.3,1370.8,335697.3,8467.2,0.0,0.0,10333.7,0.0,354511.5
GM0772,731446.2,3507029.3,18000.2,24396.3,10273.4,67565.4,0.0,0.0,0.0,72437.2,0.0,91877.5,2224.7,17478.100000000002,4330747.3,62071.0,77826.2,0.0,72433.5,0.0,4543180.9
GM0777,124050.6,688521.6,4383.9,6285.1,0.0,0.0,0.0,0.0,0.0,18868.0,0.0,15551.300000000001,398.3,3383.7000000000003,828159.9,14446.6,0.0,0.0,18866.3,0.0,861482.1
GM0779,61605.8,314405.6,2705.5,4045.8,0.0,0.0,0.0,0.0,0.0,10413.3,0.0,7662.0,255.5,1580.4,383683.7,8582.8,0.0,0.0,10412.1,0.0,402677.5
GM0784,73354.3,373792.3,3308.6,4498.5,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9151.1,300.3,1900.9,456303.0,10003.1,0.0,0.0,13163.2,0.0,479463.7
GM0785,66853.3,343537.8,3037.2,4088.1,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8335.0,278.0,1728.2,418719.7,9121.0,0.0,0.0,12623.0,0.0,440465.1
GM0794,272624.6,1412886.6,6431.4,8818.6,1585.4,10765.2,0.0,0.0,0.0,29669.1,0.0,34691.5,682.2,7022.700000000001,1720313.1,22949.3,12351.0,0.0,29666.7,0.0,1785300.5
GM0796,484456.7,2410479.4,9070.7,11716.9,4588.0,31612.2,0.0,0.0,0.0,43479.4,0.0,61890.700000000004,1104.3,11828.300000000001,2957040.9,33710.7,36199.4,0.0,43476.5,0.0,3070498.9
GM0797,124865.4,695967.6,4402.6,6490.3,0.0,0.0,0.0,0.0,0.0,19038.4,0.0,15649.6,399.90000000000003,3430.0,836518.8,14718.300000000001,0.0,0.0,19036.8,0.0,870284.7
GM0798,42172.5,222220.6,2642.2,3996.2,0.0,0.0,0.0,0.0,0.0,9957.5,0.0,5249.8,250.5,1115.5,269680.7,7999.1,0.0,0.0,9956.1,0.0,287639.1
GM0809,67213.2,346076.8,3041.6,4143.6,0.0,0.0,0.0,0.0,0.0,12666.9,0.0,8382.5,278.3,1749.9,421663.8,9203.9,0.0,0.0,12666.0,0.0,443522.9
GM0820,66989.9,344483.4,3041.6,4118.7,0.0,0.0,0.0,0.0,0.0,12666.9,0.0,8352.6,278.3,1751.4,419819.0,9178.9,0.0,0.0,12666.0,0.0,441656.4
GM0823,50041.7,259296.0,2675.5,4156.2,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6223.0,253.0,1300.4,315592.0,8378.3,0.0,0.0,10250.4,0.0,334225.4
GM0824,90761.2,468755.8,3940.7999999999997,5180.1,0.0,0.0,0.0,0.0,0.0,17437.2,0.0,11340.6,353.5,2373.3,570884.5,11840.6,0.0,0.0,17435.3,0.0,600142.1
GM0826,163003.2,897859.8,5154.5,7814.5,222.79999999999998,1616.4,0.0,0.0,0.0,23127.1,0.0,20508.8,481.0,4385.400000000001,1081410.2,17828.1,1838.7,0.0,23125.2,0.0,1124213.7
GM0828,269288.4,1396486.6,6388.0,9177.8,1541.8,10411.6,0.0,0.0,0.0,29330.7,0.0,34262.1,676.0,6985.6,1700144.7,23217.5,11953.8,0.0,29328.5,0.0,1764642.5
GM0840,63048.6,321811.1,3037.2,4113.0,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,7849.3,278.0,1647.6000000000001,392713.1,9067.3,0.0,0.0,12623.0,0.0,414401.7
GM0845,78902.3,411402.4,3332.7999999999997,4611.4,0.0,0.0,0.0,0.0,0.0,13328.5,0.0,9839.6,302.0,2086.9,500147.1,10326.2,0.0,0.0,13327.4,0.0,523798.1
GM0847,51009.2,263489.4,2675.5,4113.3,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6339.400000000001,253.0,1325.0,320867.2,8360.2,0.0,0.0,10250.4,0.0,339492.3
GM0848,44968.9,241389.7,2656.6,3955.6,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,5618.2,251.70000000000002,1214.8,292002.9,8075.0,0.0,0.0,10125.4,0.0,310201.6
GM0851,67132.1,345461.7,3041.6,4123.7,0.0,0.0,0.0,0.0,0.0,12666.9,0.0,8372.0,278.3,1748.1000000000001,420957.4,9181.9,0.0,0.0,12666.0,0.0,442805.9
GM0852,45604.3,244112.9,2656.6,4081.6,0.0,0.0,0.0,0.0,0.0,10126.8,0.0,5701.0,251.70000000000002,1212.0,295442.1,8197.1,0.0,0.0,10125.4,0.0,313771.5
GM0855,668929.8,3247133.8,12863.3,14859.3,7404.599999999999,50681.0,0.0,0.0,0.0,63995.5,0.0,84870.0,1600.8,16149.900000000001,4001258.1,45456.4,58085.4,0.0,63991.8,0.0,4168927.9
GM0858,95852.3,515897.1,3630.5,4929.4,0.0,0.0,0.0,0.0,0.0,15610.9,0.0,12013.4,326.3,2544.8,623776.7,11426.0,0.0,0.0,15609.7,0.0,650816.1
GM0861,129574.4,726772.9,4560.8,6602.7,0.0,0.0,0.0,0.0,0.0,20219.1,0.0,16248.7,413.40000000000003,3555.0,872630.3,15131.5,0.0,0.0,20217.2,0.0,907987.1
